id,random_order,C01,C02,lname,cwealth,count,county,district,x,y,xcd,xcm,xcs,ycs,ycm,ycd,.merge,C03,EA,LOCALITY,localitypop,rel.elf,elf,cdisplaced,cwidow,.pop1merge,cparent.death,cwar.disable,.pop2merge,cliterate,cnoschool,ceduc,cunemployed,cinformal.econ,cinformal.occ,cinformal.indust,cunemployed2,cunder18,.pop3merge,urban,DISTRICT,COUNTY,locality.id,index,roaddist_paved,rdpX,rdpY,roadpid,roaddist_primary,rdprX,rdprY,roadprir,hub_sample,addtns_to_hub_sample,insample,strata,treatment,patrol,prev_patrolled,localityname,towncode,towncode,poldepot
64570,5,6,4,Gbao-Ta,0.721461177,1,Bong,Jorquelleh,456052,774202,9,23,52.42333221,7,0,14.15000057,matched (3),3,15,3,1036,0.096840054,0.104651518,0.109073356,0.033783782,matched (3),0.542471051,0,matched (3),0.479490817,0.594688237,2.272727251,0.211502776,0.463821888,0.452690154,0.452690154,0.31910947,0.479729742,matched (3),0,62,2,570,30,2.724980732,-9.397896801,7.003954993,23,7106.698981,-9.45296,6.97094,460,1,0,1,1,0,6,0,Gbao-Ta,2020,2020,0
624546,1,6,24,Galai,0.594117641,1,Bong,Kpaai,468177,777968,9,17,17.30999947,7,2,17.07999992,matched (3),2,14,9,906,0.021872824,0.019743277,0.006622517,0.045253862,matched (3),0.562913895,0.003311258,matched (3),0.502645493,0.654778898,2.062355757,0.096997693,0.247113168,0.651270211,0.651270211,0.101616628,0.522075057,matched (3),0,74,2,546,324,1985.849727,-9.271408613,7.031563066,23,4109.169342,-9.28922,7.00118,379,1,0,1,1,1,6,0,Galai,2021,2021,0
624135,6,6,24,Palala City,1.438388586,1,Bong,Kpaai,468089.75,773948.5,9,17,20.06749916,7,0,6.174999714,matched (3),2,19,1,2210,0.220049948,0.319899648,0.015384615,0.019457014,matched (3),0.552036226,0.002714932,matched (3),0.497045308,0.560630798,3.324976683,0.130919218,0.399257183,0.512534797,0.512534797,0.136490256,0.512669683,matched (3),1,74,2,135,338,16.46382765,-9.289050697,7.001756655,23,68.86009112,-9.28922,7.00118,379,1,0,1,1,0,6,1,Palala City,2022,2022,1
64170,2,6,4,Jinnepeleta Community,0.800000012,1,Bong,Jorquelleh,461149,774572,9,21,6.300000191,7,0,26.31999969,matched (3),3,10,13,350,0.076800041,0.061518375,0.02,0.057142857,matched (3),0.634285688,0,matched (3),0.448275864,0.587813616,1.869822502,0.106508873,0.082840234,0.331360936,0.331360936,0.130177513,0.517142832,matched (3),0,62,2,170,68,403.3198002,-9.350377893,7.010668504,23,6942.490213,-9.28922,7.00118,379,1,0,1,1,1,6,0,Jinnepeleta Community,2023,2023,0
624100,7,6,24,Kowai,1.448598146,1,Bong,Kpaai,472959,775542,9,14,41.38999939,7,0,58.15999985,matched (3),2,16,8,665,0.029663637,0.003003009,0.003007519,0.025563911,matched (3),0.547368407,0.001503759,matched (3),0.410714298,0.718181789,2.164179087,0.044776119,0.75522387,0.200000003,0.200000003,0.044776119,0.496240616,matched (3),0,74,2,100,332,3227.884542,-9.26259,7.03918,23,3379.641561,-9.255287816,6.987625039,459,1,0,1,1,0,6,0,Kowai,2024,2024,0
624161,3,6,24,Tomato Camp,0.461538464,1,Bong,Kpaai,471783,778839,9,15,19.78000069,7,2,45.50999832,matched (3),2,25,10,451,0.017620349,0.035053875,0.117516629,0.042128604,matched (3),0.514412403,0.048780486,matched (3),0.453924924,0.689655185,2.460526228,0.789473712,0.074561402,0.942982435,0.942982435,0.837719321,0.494456768,matched (3),0,74,2,161,345,109.8741174,-9.255812163,7.046910293,23,6186.133045,-9.26747,6.99169,415,1,0,1,1,1,6,1,Tomato Camp,2025,2025,0
624541,8,6,24,Duta,1.137930989,1,Bong,Kpaai,467970,770988,9,17,23.90999985,6,58,29.77000046,matched (3),2,6,45,1275,0.017128227,0.012486298,0.004705882,0.043921567,matched (3),0.652549028,0.000784314,matched (3),0.477146029,0.640904784,2.802023172,0.049132947,0.640173435,0.235549137,0.235549137,0.06069364,0.457254916,matched (3),0,74,2,541,322,2922.647142,-9.28922,7.00118,23,2438.289792,-9.279503709,6.994216621,415,1,0,1,1,0,6,1,Duta,2026,2026,0
624157,4,6,24,Tassah,1.210144877,1,Bong,Kpaai,467493,765630,9,17,39.34999847,6,55,35.27999878,matched (3),2,7,12,601,0.006638963,0.055592373,0.018302828,0.028286189,matched (3),0.632279515,0,matched (3),0.3804878,0.796000004,2.267857075,0.053571429,0.770833313,0.163690478,0.163690478,0.074404761,0.440931767,matched (3),0,74,2,157,344,8335.703566,-9.28922,7.00118,23,7676.456374,-9.277053162,6.99327575,415,1,0,1,1,1,6,1,Tassah,2027,2027,0
620513,5,6,20,Botota,0.675000012,1,Bong,Tukpahblee,458784,735333,9,22,22.39999962,6,39,8.449999809,matched (3),2,10,31,1054,0.057577766,0.234529004,0.514231503,0.042694498,matched (3),0.546489537,0.006641366,matched (3),0.536351144,0.611428559,3.53016448,0.020109689,0.36745888,0.31627056,0.31627056,0.049360145,0.481024683,matched (3),0,118,2,513,289,38911.62702,-9.45439,6.9924,23,96.21274977,-9.372392974,6.65163703,451,1,0,1,2,0,3,1,Botota,2028,2028,1
620578,1,6,20,Tikpah,0.383720934,1,Bong,Tukpahblee,452548,728297,9,25,45.31000137,6,35,19.15999985,matched (3),1,4,20,503,0,0.144042343,0.459244519,0.013916501,matched (3),0.349900603,0,matched (3),0.426666677,0.496083558,1.98113203,0.009433962,0.410377353,0.240566045,0.240566045,0.042452831,0.578528821,matched (3),0,118,2,578,299,42062.45456,-9.66271,6.88702,26,447.9281297,-9.432314544,6.591289959,450,0,1,1,2,1,3,0,Tikpah,2029,2029,0
64558,6,6,4,Foloblan,0.754385948,1,Bong,Jorquelleh,449203.5,755752,9,27,35.05500031,6,50,13.13999939,matched (3),4,16,18,562,0.052348573,0.028172186,0.014234875,0.026690392,matched (3),0.572953761,0.003558719,matched (3),0.117647059,0.88641423,1.094405651,0.657342672,0.062937066,0.923076928,0.923076928,0.681818187,0.491103202,matched (3),0,62,2,558,28,17310.9939,-9.45439,6.9924,23,405.3054992,-9.456440852,6.835388843,465,1,0,1,2,0,3,0,Foloblan,2030,2030,0
620534,2,6,20,Gbalorkpala,0.532818556,1,Bong,Tukpahblee,459940,739201,9,21,44.84000015,6,41,14.43999958,matched (3),2,6,24,1569,0.008892874,0.051441994,0.134480566,0.020395156,matched (3),0.438495845,0.001912046,matched (3),0.343051493,0.685669065,1.636995792,0.026425591,0.393602222,0.247566059,0.247566059,0.050069541,0.541746318,matched (3),0,118,2,534,292,35446.28901,-9.45439,6.9924,23,2550.782775,-9.34558,6.67172,452,1,0,1,2,1,3,0,Gbalorkpala,2031,2031,0
64513,7,6,4,Blameyea,0.333333343,1,Bong,Jorquelleh,453742,764890,9,25,7.449999809,6,55,10.82999992,matched (3),4,5,16,270,0.007379992,0.007379992,0.218518525,0.077777781,matched (3),0.58518517,0.007407407,matched (3),0.255813956,0.736363649,1.277372241,0.131386861,0.642335773,0.416058391,0.416058391,0.197080299,0.492592603,matched (3),0,62,2,513,25,8925.787034,-9.44256,6.99629,23,250.2095908,-9.420904074,6.91902679,462,1,0,1,2,0,3,0,Blameyea,2032,2032,0
618509,3,6,18,Doe,0.800000012,1,Bong,Kokoyah,438617,721825,9,33,18.72999954,6,31,47.95999908,matched (3),1,3,32,508,0.007850762,0.031155048,0.265748024,0.043307088,matched (3),0.688976407,0.001968504,matched (3),0.247734144,0.809644699,0.724137902,0.026819924,0.283524901,0.103448279,0.103448279,0.026819924,0.486220479,matched (3),0,69,2,509,282,41483.32113,-9.66377,6.8867,26,5181.470671,-9.51736,6.50255,446,1,0,1,2,1,3,0,Doe,2033,2033,0
64303,8,6,4,Tammy_Ta (A),0.463414639,1,Bong,Jorquelleh,448309,752144,9,28,4.099999905,6,48,15.60999966,matched (3),4,20,2,225,0,0,0,0.017777778,matched (3),0.426666677,0,matched (3),0.314285725,0.721649468,1.392857194,0.008928572,0.732142866,0.160714284,0.160714284,0.017857144,0.50222224,matched (3),0,62,2,303,91,20987.6086,-9.45439,6.9924,23,164.9089194,-9.467196053,6.805688248,203,1,0,1,2,0,3,0,Tammy_Ta (A),2034,2034,0
64111,4,6,4,Gbenequelleh,1.363636374,1,Bong,Jorquelleh,448903.75,745648.25,9,27,44.50999832,6,44,44.11000061,matched (3),5,22,1,1290,0.009272331,0.023088768,0.047286823,0.042635661,matched (3),0.595348835,0.003100775,matched (3),0.43735224,0.672447026,2.068749905,0.042187501,0.404687494,0.357812494,0.357812494,0.050000001,0.503875971,matched (3),1,62,2,111,63,27171.23302,-9.66271,6.88702,26,218.1506094,-9.460678558,6.744566705,206,1,0,1,2,1,3,0,Gbenequelleh,2035,2035,0
620537,9,6,20,Gbecohn,0.793388426,1,Bong,Tukpahblee,452253,736964,9,25,55.15999985,6,40,1.389999986,matched (3),2,7,24,720,0.054367311,0.34996146,0.326388896,0.043055557,matched (3),0.508333325,0.002777778,matched (3),0.385057479,0.655448735,2.557422876,0.140056029,0.378151268,0.375350147,0.375350147,0.156862751,0.504166663,matched (3),0,118,2,537,293,35356.24461,-9.66271,6.88702,26,43.49275497,-9.432295904,6.666808523,208,1,0,1,2,0,3,0,Gbecohn,2036,2036,0
624179,1,6,24,Yila,1.087719321,1,Bong,Kpaai,486683,759098,9,7,13.93000031,6,52,2.829999924,matched (3),1,22,9,880,0.345880657,0.524429262,0.046590909,0.031818181,matched (3),0.588636339,0.001136364,matched (3),0.406091362,0.787412584,2.501075268,0.06666667,0.503225803,0.294623643,0.294623643,0.090322584,0.471590906,matched (3),0,74,2,179,346,22193.32946,-9.15971,7.06299,23,3320.898604,-9.13859,6.8913,420,1,0,1,3,1,1,0,Yila,2037,2037,0
622516,5,6,22,Dolo,0.924528301,1,Bong,Boinsen,469138,739878,9,16,45.25999832,6,41,36.68999863,matched (3),1,1,10,540,0.369211286,0.447016478,0.02037037,0.03888889,matched (3),0.622222245,0.001851852,matched (3),0.265714288,0.748283744,1.648550749,0.039855074,0.307971001,0.307971001,0.307971001,0.043478262,0.48888889,matched (3),0,8,2,516,307,34265.76047,-9.28922,7.00118,23,2651.996935,-9.293348911,6.712790751,454,1,0,1,3,0,1,0,Dolo,2038,2038,0
624188,2,6,24,Zowieta,2.081818104,1,Bong,Kpaai,479443,753282.8125,9,10.80000019,21.76000023,6,48.20000076,41.37400055,matched (3),1,8,1,2048,0.049790859,0.279379368,0.284179688,0.028808594,matched (3),0.526367188,0.004882813,matched (3),0.66134882,0.526035488,4.255298615,0.083815031,0.551059723,0.325626194,0.325626194,0.110789977,0.493164063,matched (3),1,74,2,188,349,23671.8107,-9.28922,7.00118,23,498.4752389,-9.190229449,6.816494608,456,1,0,1,3,1,1,1,Zowieta,2039,2039,0
624110,6,6,24,Laworta,0.958333313,1,Bong,Kpaai,475473,768600,9,13,19.34000015,6,57,12.14000034,matched (3),2,5,19,452,0.004415021,0.008820134,0.019911505,0.03318584,matched (3),0.632743359,0,matched (3),0.394984335,0.752631605,1.938775539,0.053061225,0.755102038,0.224489793,0.224489793,0.053061225,0.457964599,matched (3),0,74,2,110,334,9133.820315,-9.28922,7.00118,23,109.7775913,-9.223031896,6.953342573,417,1,0,1,3,0,1,0,Laworta,2040,2040,0
622514,3,6,22,Dean Town / Gold Camp,1.365248203,1,Bong,Boinsen,469511.6563,735490.3125,9,16,33.00999832,6,39,13.80666733,matched (3),2,4,7,1100,0.07587938,0.747492552,0.083636366,0.014545455,matched (3),0.347272724,0,matched (3),0.471052617,0.720489979,3.684654236,0.10623946,0.575042188,0.286677897,0.286677897,0.124789208,0.460909098,matched (3),0,8,2,514,306,38694.53597,-9.28922,7.00118,23,6224.25871,-9.313813453,6.695108919,453,1,0,1,3,1,1,1,Dean Town / Gold Camp,2041,2041,0
622548,7,6,22,U-La,0.171171173,1,Bong,Boinsen,473722,745337,9,14,16.03000069,6,44,34.54000092,matched (3),1,6,14,623,0.35179022,0.009584423,0.004815409,0.043338683,matched (3),0.574638844,0.004815409,matched (3),0.204597697,0.802681983,1.609467506,0.01183432,0.316568047,0.426035494,0.426035494,0.032544378,0.45746389,matched (3),0,8,2,548,315,29305.11258,-9.28922,7.00118,23,1262.02674,-9.245441241,6.751338187,456,1,0,1,3,0,1,0,U-La,2042,2042,0
624131,4,6,24,Nyenwolo,0.14173229,1,Bong,Kpaai,472237,760998,9,15,4.670000076,6,53,4.519999981,matched (3),2,2,14,522,0.17631124,0.007640873,0,0.03065134,matched (3),0.528735638,0.067049809,matched (3),0.176646709,0.913253009,1.115107894,0.039568346,0.874100745,0.118705034,0.118705034,0.057553958,0.467432946,matched (3),0,74,2,131,336,13638.61841,-9.28922,7.00118,23,7339.672068,-9.19718,6.92281,209,1,0,1,3,1,1,0,Nyenwolo,2043,2043,0
624185,8,6,24,Zebay,1.74242425,1,Bong,Kpaai,478113,765094,9,11,53.25999832,6,55,18,matched (3),2,4,13,1013,0.001972395,0.011803069,0.002961501,0.027640671,matched (3),0.604146123,0,matched (3),0.476923078,0.661234021,2.753676414,0.020220589,0.685661793,0.255514711,0.255514711,0.042279411,0.462981254,matched (3),0,74,2,185,347,13403.84199,-9.28922,7.00118,23,163.3667184,-9.197044999,6.922665825,209,1,0,1,3,0,1,1,Zebay,2044,2044,0
616552,2,6,16,Kollie-Ta,0.376811594,1,Bong,Zota,457145.5,800896.5,9,23,17.52499962,7,14,43.46500015,matched (3),4,7,1,653,0.068319388,0.060083114,0.073506892,0.05206738,matched (3),0.728943348,0.004594181,matched (3),0.312206566,0.7265625,1.940652847,0.038575668,0.332344204,0.569732964,0.569732964,0.35014838,0.483920366,matched (3),0,136,2,552,266,26356.35599,-9.35406,7.01108,23,5251.650874,-9.43441,7.25656,373,1,0,1,4,1,8,0,Kollie-Ta,2045,2045,0
616504,6,6,16,Belenai,0.88530463,1,Bong,Zota,452393,802951.25,9,25.5,22.55999947,7,15.5,20.25,matched (3),4,14,4,1514,0.080801964,0.121871784,0.354689568,0.045574635,matched (3),0.581241727,0.005944518,matched (3),0.47003746,0.603803515,3.106631994,0.009102731,0.678803623,0.252275676,0.252275676,0.076723017,0.492073983,matched (3),1,136,2,504,256,26396.64104,-9.51805,7.04302,26,605.4746382,-9.43505123,7.260022672,386,0,1,1,4,0,8,1,Belenai,2046,2046,1
64317,3,6,4,Wainsue,0.727002978,1,Bong,Jorquelleh,449433,786267.625,9,27,28.54199982,7,6.199999809,34.86600113,matched (3),2,15,6,1437,0.013843345,0.041247103,0.261656225,0.032011133,matched (3),0.570633292,0.006958942,matched (3),0.38532111,0.673191488,2.4453125,0.083333336,0.436197907,0.475260407,0.475260407,0.197916672,0.465553224,matched (3),1,62,2,317,96,10238.66947,-9.51805,7.04302,26,69.98455863,-9.458559275,7.112961259,381,0,1,1,4,1,8,1,Wainsue,2047,2047,0
614153,7,6,14,Voloblai,1.185929656,1,Bong,Suakoko,445474.6563,794716.6875,9,29,37.88000107,7,10.66666698,41.86333466,matched (3),1,1,1,755,0.061713029,0.049587291,0.303311259,0.039735101,matched (3),0.635761619,0.005298013,matched (3),0.47486034,0.633012831,2.814988375,0.037470724,0.407494158,0.334894627,0.334894627,0.091334894,0.434437096,matched (3),0,112,2,153,253,16513.37161,-9.51805,7.04302,26,5137.416221,-9.4611,7.15664,384,0,1,1,4,0,8,0,Voloblai,2048,2048,0
216524,5,21,6,Gbotai Village,0.600000024,1,Lofa,Salayea,443715,814891,9,30,36,7,22,18.76000023,matched (3),3,6,1,302,0.189443499,0.601771891,0.423841059,0.033112582,matched (3),0.589403987,0,matched (3),0.416243643,0.536885262,2.9375,0,0.0625,0.708333313,0.708333313,0.055555556,0.523178816,matched (3),0,100,8,524,533,36619.07404,-9.51805,7.04302,26,1173.857755,-9.49938,7.37136,393,1,0,1,4,0,8,0,Gbotai Village,3020,3020,0
216505,1,21,6,Beyan,0.309322029,1,Lofa,Salayea,444875,811479.5,9,29.5,28.04500008,7,20,27.71500015,matched (3),1,13,2,1122,0.057401691,0.084651187,0.511586428,0.027629234,matched (3),0.600713015,0.003565062,matched (3),0.336927235,0.646608293,1.792982459,0.028070176,0.645614028,0.201754391,0.201754391,0.061403509,0.491978616,matched (3),0,100,8,505,530,33238.03176,-9.51805,7.04302,26,40.90041424,-9.49981775,7.341115241,392,1,0,1,4,1,8,1,Beyan,3021,3021,0
216558,5,21,6,Sucromu,0.868613124,1,Lofa,Salayea,452063.6563,854186,9,25.33333397,44.95333481,7,43,38.63000107,matched (3),2,13,15,1998,0.176615566,0.039378695,0.52352351,0.05005005,matched (3),0.591591597,0.001501502,matched (3),0.464179099,0.551044762,2.603980064,0.013930349,0.425870657,0.276616901,0.276616901,0.057711441,0.496996999,matched (3),0,100,8,558,541,73106.36733,-9.00109,7.23096,23,139.1917379,-9.435967218,7.727299101,402,1,0,1,5,0,2,0,Sucromu,3022,3022,0
216518,4,21,6,Ganglota,0.460000008,1,Lofa,Salayea,445549,820513,9,29,36.38000107,7,25,21.89999962,matched (3),1,10,9,1091,0.043263733,0.164226785,0.508707583,0.034830432,matched (3),0.608615935,0.008249313,matched (3),0.544217706,0.490131587,3.211397171,0.045955881,0.5,0.336397052,0.336397052,0.137867644,0.5013749,matched (3),0,100,8,518,531,42358.63522,-9.51805,7.04302,26,21.34109289,-9.49362658,7.422704031,393,1,0,1,4,1,8,1,Ganglota,3023,3023,1
2112152,6,21,12,Yeala,0.465000004,1,Lofa,Zorzor,456204,864886.5,9,23,50.12000275,7,49,27.21500015,matched (3),1,12,1,860,0.287996233,0.087963738,0.565116286,0.037209302,matched (3),0.723255813,0.008139535,matched (3),0.546357632,0.53727144,3.38611722,0.084598698,0.381778747,0.561822116,0.561822116,0.154013008,0.463953495,matched (3),1,135,8,152,642,79202.63841,-9.00109,7.23096,23,6329.245149,-9.43085,7.77813,403,1,0,1,5,0,2,1,Yeala,3024,3024,0
2110562,1,21,10,John's,0.932432413,1,Lofa,Voinjama,419943,906212,9,43,36.52000046,8,11,51.25,matched (3),3,9,19,385,0.080188908,0.148895308,0.558441579,0.054545455,matched (3),0.810389638,0,matched (3),0.597826064,0.514018714,4.706730843,0.043269232,0.793269217,0.168269232,0.168269232,0.067307696,0.459740251,matched (3),0,123,8,562,574,130339.878,-9.54247,7.04105,26,95.40086737,-9.727459837,8.197001853,363,1,0,1,5,1,2,0,John's,3025,3025,0
2112536,7,21,12,Fissibu,0.661399543,1,Lofa,Zorzor,448510.3438,864494.8125,9,27.66666603,21.3283329,7,49,14.20499992,matched (3),1,16,2,2176,0.299610406,0.056053471,0.347426474,0.0234375,matched (3),0.640625,0.008272059,matched (3),0.467583507,0.552717388,3.491452932,0.155555561,0.256410271,0.647008538,0.647008538,0.236752138,0.462316185,matched (3),1,135,8,536,620,83383.36889,-9.00109,7.23096,23,25.45586334,-9.466805389,7.820628594,403,1,0,1,5,0,2,1,Fissibu,3026,3026,0
